codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A307,01/01/2018,00,34.6,34.9,34.4,27,28,27,12.8,13.0,12.7,967.8,967.8,967.1,2.1,106,3.6,-3.54,0.0
A307,01/01/2018,23,34.1,35.0,34.1,26,26,24,11.9,11.9,11.4,965.7,965.7,965.3,0.8,65,2.8,-3.54,0.0
A307,01/01/2018,02,32.8,33.7,32.8,33,33,31,14.5,14.5,14.0,969.1,969.2,968.6,5.2,140,9.9,-3.53,0.0
A307,01/01/2018,04,29.9,31.4,29.9,45,45,37,16.7,16.7,15.2,969.1,969.4,969.1,4.5,115,10.0,-3.54,0.0
A307,01/01/2018,08,25.8,26.8,25.8,61,61,57,17.7,17.7,17.5,969.7,969.7,969.3,3.3,121,8.3,-3.54,0.0
A307,01/01/2018,22,35.0,36.2,35.0,24,24,22,11.5,11.7,11.2,965.3,965.3,965.0,1.3,73,3.6,60.43,0.0
A307,01/01/2018,05,28.7,29.9,28.7,52,52,45,17.8,17.8,16.7,969.2,969.2,968.9,3.8,104,8.8,-3.54,0.0
A307,01/01/2018,03,31.4,32.8,31.4,37,37,33,15.1,15.1,14.5,969.3,969.3,969.1,5.2,127,10.0,-3.54,0.0
A307,01/01/2018,06,27.7,28.7,27.7,56,56,52,18.0,18.0,17.8,969.3,969.4,969.1,3.7,115,8.3,-3.54,0.0
A307,01/01/2018,11,26.4,26.5,25.1,59,63,59,17.8,18.0,17.3,971.6,971.6,971.1,4.0,112,8.2,756.2,0.0
A307,01/01/2018,12,27.3,27.6,25.9,55,60,54,17.4,18.1,17.2,972.0,972.0,971.6,4.5,122,8.2,1426.,0.0
A307,01/01/2018,13,29.3,29.6,27.2,49,55,48,17.5,17.7,17.1,971.9,972.1,971.9,3.3,123,7.0,1999.,0.0
A307,01/01/2018,14,31.5,31.6,28.8,42,49,42,17.0,17.8,16.7,971.4,971.9,971.4,2.8,95,6.9,2425.,0.0
A307,01/01/2018,01,33.7,34.6,33.7,31,31,27,14.0,14.4,12.7,968.6,968.6,967.8,5.1,147,8.7,-3.54,0.0
A307,01/01/2018,09,25.0,25.8,25.0,63,64,61,17.5,17.8,17.5,970.6,970.6,969.7,2.7,116,6.1,-3.36,0.0
A307,01/01/2018,15,32.6,33.5,31.2,37,42,36,15.8,17.2,15.6,970.7,971.4,970.7,2.2,108,7.1,2686.,0.0
A307,01/01/2018,16,34.6,34.6,32.3,30,37,30,14.5,15.5,14.0,969.6,970.7,969.6,2.8,78,6.4,2732.,0.0
A307,01/01/2018,07,26.8,27.7,26.7,57,57,56,17.6,18.0,17.6,969.3,969.4,969.3,4.3,100,7.8,-3.54,0.0
A307,01/01/2018,17,35.6,36.0,33.9,29,31,28,14.5,14.9,13.9,968.2,969.6,968.2,2.6,90,6.5,2636.,0.0
A307,01/01/2018,18,36.2,36.5,34.6,27,30,27,14.4,14.8,13.5,967.0,968.2,967.0,3.3,136,6.8,2321.,0.0
A307,01/01/2018,10,25.3,25.3,24.7,62,64,62,17.6,17.6,17.4,971.2,971.2,970.6,3.1,105,7.3,155.9,0.0
A307,01/01/2018,19,36.5,36.7,35.2,24,28,24,12.7,14.3,12.6,966.1,967.0,966.1,2.0,169,5.1,1868.,0.0
A307,01/01/2018,20,36.2,37.1,35.9,24,25,23,12.4,13.5,11.7,965.2,966.1,965.2,2.2,101,6.0,1232.,0.0
A307,01/01/2018,21,36.2,36.8,35.8,23,24,22,11.7,12.7,11.2,965.0,965.2,965.0,1.7,118,5.7,578.2,0.0
A307,02/01/2018,20,36.2,37.2,36.0,23,24,21,11.5,12.5,11.1,963.4,963.7,963.4,2.1,114,5.5,940.8,0.0
A307,02/01/2018,03,31.6,31.9,31.3,30,31,30,12.0,12.2,11.9,967.3,967.5,967.3,2.3,109,5.4,-3.54,0.0
A307,02/01/2018,21,35.8,37.1,35.8,23,23,21,11.5,11.6,10.6,963.8,963.8,963.3,2.4,114,5.7,523.5,0.0
A307,02/01/2018,22,34.8,35.9,34.8,25,25,23,12.1,12.1,11.5,964.2,964.2,963.7,0.1,171,3.8,63.51,0.0
A307,02/01/2018,11,27.3,27.3,26.2,57,60,57,18.1,18.2,17.8,969.6,969.7,969.5,3.6,124,6.3,736.1,0.0
A307,02/01/2018,12,28.5,28.7,27.0,53,57,53,18.0,18.3,17.6,969.8,969.8,969.5,3.9,94,6.7,1395.,0.0
A307,02/01/2018,13,30.9,30.9,28.2,46,53,45,17.9,18.3,17.2,969.6,969.8,969.5,3.1,82,7.1,1960.,0.0
A307,02/01/2018,04,30.2,31.7,30.2,33,33,30,12.1,12.1,11.9,966.7,967.3,966.7,1.8,118,4.8,-3.54,0.0
A307,02/01/2018,23,34.1,34.8,34.1,26,26,25,12.0,12.2,11.9,965.0,965.0,964.2,0.0,175,1.1,-3.54,0.0
A307,02/01/2018,14,32.1,32.3,30.2,39,46,39,16.5,17.7,16.2,969.1,969.6,969.0,2.7,44,7.1,2295.,0.0
A307,02/01/2018,15,33.2,34.4,31.8,34,40,33,15.1,16.8,15.1,968.4,969.1,968.3,3.7,47,8.7,2565.,0.0
A307,02/01/2018,05,29.6,30.2,29.5,36,36,33,13.0,13.0,12.1,966.6,966.7,966.6,3.8,116,7.2,-3.54,0.0
A307,02/01/2018,01,32.8,32.8,32.3,29,31,28,12.2,13.0,12.1,967.1,967.1,966.4,1.8,125,3.8,-3.54,0.0
A307,02/01/2018,06,28.3,29.6,28.3,48,48,36,16.3,16.3,13.0,966.4,966.7,966.4,2.4,120,7.2,-3.54,0.0
A307,02/01/2018,16,34.5,35.2,33.0,31,34,30,14.8,15.3,14.4,967.6,968.4,967.6,1.9,101,8.7,2749.,0.0
A307,02/01/2018,17,36.2,36.4,34.3,26,31,25,13.4,15.0,12.8,966.1,967.6,966.1,1.8,88,6.7,2692.,0.0
A307,02/01/2018,07,27.0,28.3,26.9,53,54,48,16.7,17.4,16.0,966.7,966.7,966.4,2.9,83,6.5,-3.54,0.0
A307,02/01/2018,08,26.5,27.0,26.5,59,59,54,17.8,17.8,16.7,968.0,968.0,966.7,2.2,106,5.3,-3.54,0.0
A307,02/01/2018,18,36.6,36.9,35.3,23,27,22,12.0,13.9,11.5,964.7,966.1,964.7,3.0,144,6.1,2455.,0.0
A307,02/01/2018,02,31.9,32.8,31.9,30,30,28,12.2,12.2,11.8,967.4,967.4,967.1,2.4,139,4.2,-3.54,0.0
A307,02/01/2018,09,26.0,26.5,26.0,61,61,59,18.0,18.1,17.8,968.7,968.7,968.0,3.0,113,5.4,-3.32,0.0
A307,02/01/2018,19,36.4,37.2,36.1,23,24,21,12.1,12.7,11.0,963.7,964.7,963.7,2.5,127,6.4,1856.,0.0
A307,02/01/2018,00,32.3,34.1,32.3,30,30,26,12.6,12.6,11.9,966.4,966.4,965.7,0.5,128,1.8,-3.54,0.0
A307,02/01/2018,10,26.4,26.7,25.7,60,63,60,17.9,18.3,17.9,969.5,969.5,968.7,2.4,156,5.5,167.8,0.0
A307,03/01/2018,04,27.7,28.6,27.7,53,53,48,17.2,17.2,16.4,967.5,967.5,967.3,3.0,286,7.2,-3.54,0.0
A307,03/01/2018,10,27.0,27.1,25.8,59,62,59,18.4,18.5,18.0,968.6,968.6,967.8,2.0,316,4.1,167.9,0.0
A307,03/01/2018,11,28.5,28.6,26.8,56,60,56,18.9,19.1,18.3,969.2,969.2,968.5,3.1,272,4.8,710.1,0.0
A307,03/01/2018,05,27.2,27.7,27.2,56,56,53,17.7,17.7,17.1,967.0,967.6,967.0,3.3,293,5.4,-3.54,0.0
A307,03/01/2018,12,30.0,30.4,28.4,48,57,45,17.9,19.2,16.9,969.4,969.4,969.2,2.0,225,4.7,1359.,0.0
A307,03/01/2018,00,32.7,34.1,32.6,29,29,26,12.2,12.3,12.0,965.6,965.6,965.0,0.3,136,1.2,-3.54,0.0
A307,03/01/2018,13,32.4,32.4,30.1,40,49,40,17.2,18.6,16.8,969.3,969.5,969.3,2.5,275,5.7,1955.,0.0
A307,03/01/2018,23,30.8,31.9,30.8,40,40,35,15.6,15.8,14.5,965.6,965.6,965.1,0.4,248,1.7,-3.54,0.0
A307,03/01/2018,14,33.0,33.3,31.0,36,42,35,15.8,17.3,15.2,969.2,969.3,969.2,2.8,300,6.7,2086.,0.0
A307,03/01/2018,15,33.7,34.5,32.4,32,36,32,14.8,15.8,14.5,968.6,969.3,968.6,2.9,297,7.6,2167.,0.0
A307,03/01/2018,16,35.0,35.7,33.7,29,32,28,14.1,15.2,14.1,967.9,968.6,967.9,2.8,300,7.2,2688.,0.0
A307,03/01/2018,17,36.1,37.5,34.9,24,29,22,12.6,14.4,11.8,966.6,967.9,966.6,2.1,230,6.2,2773.,0.0
A307,03/01/2018,18,36.1,38.3,36.0,26,27,20,13.8,14.2,11.5,965.6,966.6,965.6,3.8,334,8.5,2308.,0.0
A307,03/01/2018,06,27.0,27.2,27.0,56,57,56,17.5,17.7,17.5,966.9,967.0,966.9,2.3,278,6.3,-3.54,0.0
A307,03/01/2018,19,30.3,36.6,30.3,48,48,25,18.0,18.0,12.7,965.5,965.6,965.1,7.4,104,16.0,653.1,0.0
A307,03/01/2018,01,32.9,33.4,32.7,29,30,29,12.7,13.0,12.2,966.0,966.0,965.6,1.2,63,2.3,-3.54,0.0
A307,03/01/2018,20,33.5,33.5,29.2,33,52,33,14.9,18.3,14.9,964.7,965.7,964.7,2.6,349,16.0,363.0,0.4
A307,03/01/2018,21,34.0,34.0,33.5,29,33,28,13.5,14.4,13.1,964.6,964.7,964.5,1.3,322,5.6,256.9,0.0
A307,03/01/2018,22,31.9,34.1,31.9,35,35,29,14.5,14.5,13.4,965.1,965.1,964.6,0.7,273,3.5,55.59,0.0
A307,03/01/2018,07,26.8,27.0,26.7,57,57,56,17.6,17.6,17.4,967.1,967.1,966.9,1.2,311,4.1,-3.54,0.0
A307,03/01/2018,02,31.8,32.9,31.8,31,31,29,12.4,12.8,12.4,967.0,967.1,966.0,1.8,27,5.6,-3.54,0.0
