codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A301,03/01/2018,22,27.1,27.4,27.1,72,72,67,21.5,21.5,20.7,1010.0,1010.0,1009.6,1.8,61,6.3,-3.54,0.0
A301,03/01/2018,23,26.9,27.1,26.9,72,72,71,21.4,21.6,21.2,1010.6,1010.6,1010.0,1.6,43,5.1,-3.54,0.0
A301,03/01/2018,14,31.9,33.0,30.5,51,51,46,20.4,20.7,18.9,1011.4,1011.7,1011.4,2.6,50,6.3,2483.,0.0
A301,03/01/2018,15,31.3,33.3,30.7,53,56,47,20.6,21.6,20.2,1011.0,1011.4,1011.0,2.5,62,7.7,3625.,0.0
A301,03/01/2018,16,32.1,32.6,30.3,51,57,49,20.8,21.3,20.1,1010.3,1011.0,1010.3,2.4,67,8.5,3494.,0.0
A301,03/01/2018,17,31.2,32.6,30.5,53,54,50,20.6,21.2,19.9,1009.7,1010.3,1009.7,2.2,55,8.5,3080.,0.0
A301,03/01/2018,18,30.3,31.8,30.3,53,54,50,19.7,20.9,19.7,1009.6,1009.7,1009.5,2.3,68,6.2,3999.,0.0
A301,03/01/2018,19,29.7,31.5,29.7,57,57,51,20.4,20.7,19.2,1009.8,1009.8,1009.6,1.7,70,5.6,2147.,0.0
A301,03/01/2018,12,31.6,////,////,47,////,////,18.8,////,////,1011.7,////,////,2.1,26,////,430.8,0.0
A301,03/01/2018,20,28.4,29.7,28.4,62,62,57,20.3,20.5,19.8,1009.8,1009.9,1009.8,1.9,77,6.9,745.3,0.0
A301,03/01/2018,21,27.3,28.4,27.3,67,67,62,20.7,20.7,20.4,1009.8,1009.8,1009.6,1.6,61,5.9,92.99,0.0
A301,03/01/2018,13,31.5,32.7,30.1,47,51,45,18.8,20.1,18.2,1011.7,1011.8,1011.6,2.5,35,6.1,1724.,0.0
A301,04/01/2018,23,26.6,27.1,26.5,72,72,66,21.1,21.1,20.1,1013.2,1013.2,1012.5,1.4,105,4.8,-3.54,0.0
A301,04/01/2018,06,24.7,26.3,24.7,78,78,71,20.6,21.0,20.4,1011.1,1011.1,1010.8,0.6,277,4.3,-3.54,0.0
A301,04/01/2018,16,30.6,33.5,30.6,52,53,41,19.6,19.9,17.7,1012.6,1013.0,1012.6,2.1,72,7.1,2506.,0.0
A301,04/01/2018,17,30.3,31.3,30.1,57,57,50,20.7,20.7,19.3,1012.2,1012.6,1012.2,2.2,68,6.6,2459.,0.0
A301,04/01/2018,18,29.3,30.4,29.2,58,60,56,20.1,21.1,19.9,1011.8,1012.2,1011.8,2.0,64,6.8,1596.,0.0
A301,04/01/2018,19,28.8,29.3,28.5,64,64,58,21.2,21.2,20.2,1011.4,1011.8,1011.4,1.6,62,5.2,1131.,0.0
A301,04/01/2018,00,26.8,26.9,26.7,73,73,72,21.5,21.5,21.2,1011.3,1011.3,1010.6,1.6,60,5.7,-3.54,0.0
A301,04/01/2018,20,28.5,29.1,28.2,66,66,63,21.5,21.7,20.8,1011.6,1011.6,1011.4,1.4,108,6.1,1028.,0.0
A301,04/01/2018,07,23.2,24.7,23.2,85,85,78,20.6,20.7,20.6,1011.5,1011.5,1011.1,0.9,280,2.1,-3.54,0.0
A301,04/01/2018,21,27.2,28.5,27.2,64,67,64,19.9,21.4,19.8,1011.9,1011.9,1011.6,1.0,62,5.9,126.2,0.0
A301,04/01/2018,22,26.7,27.2,26.7,68,68,64,20.2,20.5,19.9,1012.5,1012.5,1011.9,1.8,99,4.3,-3.54,0.0
A301,04/01/2018,01,26.8,26.9,26.7,71,73,71,21.1,21.5,21.0,1011.5,1011.6,1011.2,1.6,62,5.1,-3.54,0.0
A301,04/01/2018,08,22.4,23.2,22.4,88,88,85,20.3,20.7,20.3,1012.1,1012.1,1011.5,0.2,284,1.7,-3.37,0.0
A301,04/01/2018,02,26.8,26.8,26.6,71,72,71,21.1,21.3,21.1,1011.5,1011.6,1011.4,1.5,62,5.2,-3.54,0.0
A301,04/01/2018,09,23.8,23.8,22.3,89,89,88,21.8,21.8,20.2,1012.7,1012.7,1012.1,0.5,275,1.8,252.2,0.0
A301,04/01/2018,10,27.2,27.2,23.8,72,89,72,21.8,23.2,21.7,1013.4,1013.4,1012.7,0.9,293,2.5,1468.,0.0
A301,04/01/2018,04,26.5,26.8,26.3,71,73,70,20.7,21.2,20.6,1010.9,1011.2,1010.9,0.9,37,3.5,-3.44,0.0
A301,04/01/2018,11,30.4,30.4,27.2,56,72,56,20.7,22.4,20.1,1013.8,1013.9,1013.4,1.8,40,4.3,2282.,0.0
A301,04/01/2018,12,29.8,31.2,29.3,52,58,48,18.8,20.7,18.4,1014.1,1014.1,1013.8,2.7,19,6.5,3519.,0.0
A301,04/01/2018,13,31.2,31.8,29.7,51,55,50,19.9,20.6,18.7,1013.9,1014.2,1013.9,2.4,46,5.5,2905.,0.0
A301,04/01/2018,14,31.9,33.2,29.8,46,57,46,19.0,21.6,19.0,1013.4,1013.9,1013.4,3.3,31,7.2,2376.,0.0
A301,04/01/2018,03,26.5,26.8,26.5,72,72,70,21.0,21.1,20.9,1011.2,1011.6,1011.2,1.2,39,4.2,-3.53,0.0
A301,04/01/2018,15,32.6,33.8,31.5,45,49,42,19.2,19.8,18.6,1013.0,1013.4,1013.0,2.5,77,6.7,1866.,0.0
A301,04/01/2018,05,25.9,26.5,25.8,74,74,71,20.9,21.0,20.6,1010.9,1010.9,1010.8,1.0,36,3.6,-3.53,0.0
A301,05/01/2018,08,25.1,25.6,24.8,80,81,76,21.3,21.7,20.8,1013.9,1013.9,1013.4,0.9,130,2.9,-3.00,0.0
A301,05/01/2018,09,27.2,27.2,25.0,72,80,72,21.7,21.9,21.3,1014.3,1014.3,1013.9,0.9,104,3.3,185.8,0.0
A301,05/01/2018,02,26.6,26.9,26.6,73,74,72,21.4,21.6,21.3,1014.1,1014.1,1014.1,1.3,103,5.0,-3.54,0.0
A301,05/01/2018,10,29.1,29.1,27.0,65,72,65,21.8,22.3,21.0,1014.7,1014.7,1014.3,1.7,84,5.1,1171.,0.0
A301,05/01/2018,22,27.2,27.6,27.2,73,73,70,21.9,21.9,21.6,1013.0,1013.0,1012.7,2.3,114,5.2,-3.53,0.0
A301,05/01/2018,11,29.6,30.3,28.8,58,65,56,20.6,21.4,20.1,1015.0,1015.0,1014.7,2.4,90,5.5,3403.,0.0
A301,05/01/2018,03,26.2,26.7,26.2,75,75,73,21.5,21.6,21.3,1013.6,1014.1,1013.6,1.3,92,4.0,-3.54,0.0
A301,05/01/2018,12,30.5,30.9,29.2,46,60,46,17.6,21.1,17.6,1015.1,1015.2,1015.0,2.8,124,6.5,4607.,0.0
A301,05/01/2018,13,32.1,32.2,30.1,42,51,41,17.5,19.5,17.0,1014.8,1015.1,1014.8,2.2,95,6.9,1856.,0.0
A301,05/01/2018,14,31.6,32.9,31.2,48,51,41,19.1,20.0,16.9,1014.6,1014.8,1014.6,2.5,105,6.7,916.0,0.0
A301,05/01/2018,15,31.6,32.4,30.5,49,53,46,19.4,20.5,18.6,1014.2,1014.7,1014.2,2.7,127,7.3,910.1,0.0
A301,05/01/2018,16,32.2,32.6,31.1,51,54,47,20.8,21.5,18.6,1013.5,1014.2,1013.5,3.1,89,7.0,971.2,0.0
A301,05/01/2018,17,31.0,32.2,28.8,55,61,51,20.9,21.7,20.4,1012.8,1013.6,1012.8,2.6,103,7.0,2692.,0.0
A301,05/01/2018,00,26.7,27.0,26.6,72,72,70,21.3,21.4,21.1,1013.9,1013.9,1013.2,1.0,92,5.5,-3.54,0.0
A301,05/01/2018,18,30.5,32.2,29.6,54,56,49,20.2,21.2,18.8,1012.2,1012.8,1012.2,2.3,92,7.6,3644.,0.0
